   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   2.808        1.317
         2                   2.246        1.002
         3                   1.748        0.546
         4                   2.097        0.828
         5                   2.834        1.114
         6                   2.788        0.819
         7                   2.582        0.877
         8                   2.570        0.395
         9                   2.343        0.406
        10                   2.231        0.533
        11                   2.492        0.900
        12                   2.505        1.259
        13                   2.881        1.759
        14                   2.984        2.089
        15                   2.713        1.964
        16                   2.303        1.501
        17                   2.214        1.123
        18                   2.020        0.661
        19                   1.871        0.674
        20                   2.793        1.084
        21                   3.149        1.101
        22                   3.273        1.261
        23                   1.238        0.423
        24                   1.475        1.155
        25                   1.411        0.587
        26                   1.602        0.751
        27                   2.380        1.349
        28                   2.055        1.134
        29                   2.669        1.629
        30                   3.409        2.273
        31                   3.611        2.478
        32                   3.153        2.035
