   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   6.170        1.300
         2                   6.533        0.772
         3                   6.690        0.540
         4                   6.585        0.959
         5                   6.265        1.421
         6                   6.661        1.683
         7                   7.096        1.582
         8                   7.408        2.043
         9                   7.993        2.209
        10                   8.198        1.108
        11                   8.109        1.254
        12                   8.635        1.256
        13                   8.956        2.385
        14                   9.659        3.046
        15                  10.021        3.090
        16                   9.705        2.477
        17                   9.003        1.321
        18                   8.719        1.319
        19                   9.074        2.399
        20                   7.843        2.339
        21                   7.290        2.817
        22                   6.856        2.623
        23                   7.285        0.879
        24                   7.778        1.733
        25                   7.745        1.164
        26                   8.399        1.764
        27                   7.078        1.037
        28                   7.664        1.171
        29                   8.334        1.783
        30                   8.459        2.153
        31                   7.906        2.126
        32                   7.204        1.663
